Date,Open,High,Low,Close,Volume
2014-07-30,181.22000122070312,181.44000244140625,179.86000061035156,180.58999633789062,1128500
2014-07-31,179.35000610351562,179.5,176.9600067138672,176.9600067138672,2430500
2014-08-01,176.52000427246094,177.6199951171875,175.64999389648438,176.52999877929688,3398000
2014-08-04,176.80999755859375,178.11000061035156,176.07000732421875,177.77000427246094,2212000
2014-08-05,177.0399932861328,177.47999572753906,175.39999389648438,175.97000122070312,1251300
2014-08-06,175.1999969482422,176.82000732421875,175.17999267578125,176.0800018310547,1185800
2014-08-07,176.89999389648438,177.0399932861328,174.6999969482422,175.1300048828125,1527100
2014-08-08,175.49000549316406,177.27000427246094,175.10000610351562,177.16000366210938,1209900
2014-08-11,177.8699951171875,178.47000122070312,177.61000061035156,177.66000366210938,1191200
2014-08-12,177.47000122070312,177.99000549316406,176.89999389648438,177.4499969482422,513900
2014-08-13,178.14999389648438,178.8300018310547,177.8699951171875,178.6999969482422,781600
2014-08-14,178.9199981689453,179.47999572753906,178.77000427246094,179.47999572753906,842000
2014-08-15,180.14999389648438,180.3000030517578,178.17999267578125,179.42999267578125,1694300
2014-08-18,180.4600067138672,181.02999877929688,180.33999633789062,180.9199981689453,1039100
2014-08-19,181.39999389648438,182.02999877929688,181.22999572753906,181.8800048828125,583000
2014-08-20,181.66000366210938,182.61000061035156,181.64999389648438,182.3800048828125,1507800
2014-08-21,182.5800018310547,183.1699981689453,182.4199981689453,182.89999389648438,756600
2014-08-22,182.8000030517578,183.08999633789062,182.24000549316406,182.61000061035156,656500
2014-08-25,183.5399932861328,183.86000061035156,183.27000427246094,183.55999755859375,1097200
2014-08-26,183.72000122070312,184.1699981689453,183.64999389648438,183.7100067138672,749500
2014-08-27,183.80999755859375,183.89999389648438,183.33999633789062,183.67999267578125,602600
2014-08-28,183.02000427246094,183.6199951171875,182.85000610351562,183.5399932861328,447700
2014-08-29,183.8300018310547,184.05999755859375,183.22999572753906,183.99000549316406,617200
2014-09-02,184.3000030517578,184.3000030517578,183.27000427246094,183.94000244140625,553800
2014-09-03,184.64999389648438,184.67999267578125,183.58999633789062,183.86000061035156,627600
2014-09-04,184.1199951171875,184.82000732421875,183.10000610351562,183.55999755859375,536700
2014-09-05,183.52999877929688,184.47000122070312,182.8800048828125,184.44000244140625,502300
2014-09-08,184.24000549316406,184.4600067138672,183.39999389648438,183.97000122070312,635900
2014-09-09,183.7899932861328,183.8800048828125,182.41000366210938,182.77999877929688,515300
2014-09-10,182.88999938964844,183.5500030517578,182.27000427246094,183.5,849800
2014-09-11,182.75,183.6999969482422,182.61000061035156,183.6699981689453,525700
2014-09-12,183.49000549316406,183.50999450683594,182.0800018310547,182.5800018310547,724000
2014-09-15,182.63999938964844,182.74000549316406,181.88999938964844,182.4600067138672,1021700
2014-09-16,182.11000061035156,184.1199951171875,182.0,183.82000732421875,565100
2014-09-17,184.11000061035156,184.9199981689453,183.1999969482422,184.0800018310547,975000
2014-09-18,184.64999389648438,185.05999755859375,184.42999267578125,185.0399932861328,740000
2014-09-19,185.63999938964844,185.83999633789062,184.5800018310547,184.86000061035156,964000
2014-09-22,183.6999969482422,183.74000549316406,182.22999572753906,182.55999755859375,836700
2014-09-23,181.9499969482422,182.6999969482422,181.50999450683594,181.52999877929688,752200
2014-09-24,181.6199951171875,183.07000732421875,181.1199951171875,182.99000549316406,968500
2014-09-25,182.5,182.52000427246094,179.99000549316406,180.0500030517578,1603000
2014-09-26,180.36000061035156,181.8800048828125,180.1300048828125,181.5,916900
2014-09-29,179.92999267578125,181.4499969482422,179.77000427246094,181.13999938964844,1482800
2014-09-30,181.3000030517578,181.80999755859375,180.2899932861328,180.58999633789062,767700
2014-10-01,180.33999633789062,180.4199981689453,177.80999755859375,178.22000122070312,2380200
2014-10-02,178.0500030517578,178.8300018310547,176.39999389648438,178.2100067138672,1263800
2014-10-03,179.47999572753906,180.5500030517578,178.8800048828125,180.1999969482422,1217400
2014-10-06,180.94000244140625,181.17999267578125,179.36000061035156,179.97999572753906,1307000
