date,close,high,low,buy,sell,rsi,dev200,gear,vix,adx,atr_pct,sma200,macd_hist
2015-06-15,191.6199951171875,191.97000122070312,190.47000122070312,45,7,44.04808115751779,1.9868299702061214,2,15.390000343322754,19.57545097738054,0.8405763307137826,187.8869998931885,-0.23822523229486256
2015-06-16,192.7400054931641,192.80999755859372,191.33999633789065,59,15,48.7636240537358,2.5578294073480046,3,14.8100004196167,19.805684148809124,0.8130854036722485,187.93299995422365,-0.181262443821649
2015-06-17,193.07000732421875,193.69000244140625,191.9499969482422,52,15,50.098106084950714,2.708612990551983,3,14.5,19.403534722600373,0.8412927255448517,187.9783999633789,-0.11449589820717632
2015-06-18,194.97999572753903,195.52999877929688,193.6000061035156,57,22,57.06783905942549,3.694231137585223,3,13.1899995803833,18.1184967120002,0.8678535689715405,188.03359992980958,0.05600745102287137
2015-06-19,193.8500061035156,194.8500061035156,193.8500061035156,59,16,52.40450879247022,3.0659013760374636,3,13.960000038146973,16.925247130728614,0.8574360795689339,188.08354995727538,0.0884610036611489
2015-06-22,194.2700042724609,194.9199981689453,194.0500030517578,66,16,53.911984691822646,3.25980589788757,3,12.739999771118164,15.859391397422334,0.8305800492950358,188.13709999084472,0.13140132878041624
2015-06-23,194.41000366210935,194.75999450683597,194.0,67,16,54.43009958057628,3.306846550869771,3,12.109999656677246,14.836260301595557,0.8141834807260868,188.18694999694824,0.1604951987554185
2015-06-24,193.0200042724609,194.5200042724609,192.9900054931641,70,12,48.58954545441942,2.543562822908817,3,13.260000228881836,14.32460945251366,0.8030237685047721,188.23220001220704,0.08137848139555652
2015-06-25,192.4199981689453,193.69000244140625,192.3600006103516,70,15,46.28097483449242,2.1986346744476584,3,14.010000228881836,14.228214067846512,0.8014444135214583,188.28040000915527,-0.011185058727816048
2015-06-26,192.4199981689453,193.07000732421875,191.8000030517578,63,9,46.28097483449242,2.1744315247287,3,14.020000457763672,14.462601625213463,0.8003308234735584,188.325,-0.06900799230979641
2015-06-29,188.3500061035156,191.42999267578125,188.25999450683597,52,0,33.68896070477861,0.0008527090447379577,2,18.850000381469727,16.22307734156049,0.9268442441145983,188.34840003967284,-0.361605115221599
2015-06-30,188.83999633789065,190.17999267578125,188.2400054931641,45,0,35.94840278835889,0.2443449722309791,2,18.229999542236328,17.864719071912496,0.8949353604632105,188.37970001220702,-0.49418413837035374
2015-07-01,190.2700042724609,190.75,189.4499969482422,45,4,42.14421022129967,0.9825212578158599,2,16.09000015258789,18.926265199488487,0.9208700587929994,188.41875,-0.45840082599525805
2015-07-02,190.1300048828125,191.0,189.67999267578125,46,6,41.71873773070704,0.8913251372528167,2,16.790000915527344,19.708035940078343,0.9065216184994371,188.45029998779296,-0.4181164951989579
2015-07-06,189.5800018310547,190.3999938964844,188.47999572753903,44,11,40.00981000717943,0.5847913352835773,2,17.010000228881836,20.935264186393024,0.904630499606154,188.47779998779296,-0.4023352882461829
2015-07-07,190.75,190.8999938964844,187.19000244140625,57,12,45.15643992591649,1.1902251454040917,2,16.09000015258789,22.542876722991423,0.9829608493698501,188.5063500213623,-0.2920559783850234
2015-07-08,187.50999450683597,189.58999633789065,187.30999755859372,48,6,35.95683110603166,-0.53554404107467,2,19.65999984741211,24.035659792689934,1.064703872916,188.51959999084474,-0.40909858849578395
2015-07-09,187.8500061035156,190.1300048828125,187.8300018310547,50,6,37.39818055910647,-0.3691638885724848,2,19.96999931335449,24.930134558932043,1.0688613421890114,188.54605003356934,-0.4330858615253107
2015-07-10,190.2400054931641,190.7100067138672,189.3500061035156,55,20,46.51094499100957,0.8751306675648489,2,16.829999923706055,25.24776490449688,1.1203891128598182,188.58960006713866,-0.265677877479809
2015-07-13,192.3699951171875,192.47999572753903,191.5800018310547,43,21,53.067838440071334,1.9792007918015455,2,13.899999618530272,24.180923055373434,1.1514267629324437,188.63650001525878,-0.0030705395823068526
2015-07-14,193.22000122070312,193.52999877929688,192.2700042724609,63,38,55.41658302349039,2.394061978800727,3,13.369999885559082,22.512322761940194,1.1648451915568347,188.70235000610353,0.22376103877788023
